年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,2,未滿20歲,2819,2615745
201401,63000000,食,2,20(含)-25歲,66270,66794381
201401,63000000,食,2,25(含)-30歲,227091,263753101
201401,63000000,食,2,30(含)-35歲,396113,490378285
201401,63000000,食,2,35(含)-40歲,498370,618092602
201401,63000000,食,2,40(含)-45歲,539797,688628995
201401,63000000,食,2,45(含)-50歲,519528,695512392
201401,63000000,食,2,50(含)-55歲,414072,589367739
201401,63000000,食,2,55(含)-60歲,297724,434294026
201401,63000000,食,2,60(含)-65歲,187031,269687292
201401,63000000,食,2,65(含)-70歲,68932,99339656
201401,63000000,食,2,70(含)-75歲,29735,44061999
201401,63000000,食,2,75(含)-80歲,10610,15831080
201401,63000000,食,2,80(含)歲以上,8428,15889099
201401,63000000,衣,2,未滿20歲,1261,2663656
201401,63000000,衣,2,20(含)-25歲,26138,59555706
201401,63000000,衣,2,25(含)-30歲,69876,172907138
201401,63000000,衣,2,30(含)-35歲,110710,299500078
201401,63000000,衣,2,35(含)-40歲,116405,329368226
201401,63000000,衣,2,40(含)-45歲,108979,336837652
201401,63000000,衣,2,45(含)-50歲,96915,353004308
201401,63000000,衣,2,50(含)-55歲,67424,283908257
201401,63000000,衣,2,55(含)-60歲,42773,204316010
201401,63000000,衣,2,60(含)-65歲,23277,115823372
201401,63000000,衣,2,65(含)-70歲,7562,35890931
201401,63000000,衣,2,70(含)-75歲,2593,14120669
201401,63000000,衣,2,75(含)-80歲,769,3777704
201401,63000000,衣,2,80(含)歲以上,2338,11016030
201401,63000000,住,2,未滿20歲,334,1222141
201401,63000000,住,2,20(含)-25歲,8288,25915681
201401,63000000,住,2,25(含)-30歲,28275,114026520
201401,63000000,住,2,30(含)-35歲,50144,224077033
201401,63000000,住,2,35(含)-40歲,58927,287649338
201401,63000000,住,2,40(含)-45歲,60093,323460829
201401,63000000,住,2,45(含)-50歲,59386,337222114
201401,63000000,住,2,50(含)-55歲,52099,278063796
201401,63000000,住,2,55(含)-60歲,38425,236503815
201401,63000000,住,2,60(含)-65歲,22493,124566754
201401,63000000,住,2,65(含)-70歲,7850,40165584
201401,63000000,住,2,70(含)-75歲,3196,15746047
201401,63000000,住,2,75(含)-80歲,1200,8744666
201401,63000000,住,2,80(含)歲以上,1277,7857981
201401,63000000,行,2,未滿20歲,2981,2373921
201401,63000000,行,2,20(含)-25歲,66566,49507309
201401,63000000,行,2,25(含)-30歲,208045,186724098
201401,63000000,行,2,30(含)-35歲,283962,292723782
201401,63000000,行,2,35(含)-40歲,265852,301032941
201401,63000000,行,2,40(含)-45歲,234056,278674033
201401,63000000,行,2,45(含)-50歲,204992,248857451
201401,63000000,行,2,50(含)-55歲,158881,194751742
201401,63000000,行,2,55(含)-60歲,100259,124191703
201401,63000000,行,2,60(含)-65歲,48958,59933945
201401,63000000,行,2,65(含)-70歲,13251,15209839
201401,63000000,行,2,70(含)-75歲,4175,5215082
201401,63000000,行,2,75(含)-80歲,1042,1424843
201401,63000000,行,2,80(含)歲以上,1882,2968911
201401,63000000,文教康樂,2,未滿20歲,2681,12944032
201401,63000000,文教康樂,2,20(含)-25歲,54251,168087993
201401,63000000,文教康樂,2,25(含)-30歲,151839,568826041
201401,63000000,文教康樂,2,30(含)-35歲,209947,895438665
201401,63000000,文教康樂,2,35(含)-40歲,217338,1065437573
201401,63000000,文教康樂,2,40(含)-45歲,200089,1215092839
201401,63000000,文教康樂,2,45(含)-50歲,163857,1184107081
201401,63000000,文教康樂,2,50(含)-55歲,104510,834799552
201401,63000000,文教康樂,2,55(含)-60歲,59582,498647201
201401,63000000,文教康樂,2,60(含)-65歲,30138,270843927
201401,63000000,文教康樂,2,65(含)-70歲,9445,89993988
201401,63000000,文教康樂,2,70(含)-75歲,3452,37985496
201401,63000000,文教康樂,2,75(含)-80歲,1104,13160238
201401,63000000,文教康樂,2,80(含)歲以上,3192,29578638
201401,63000000,百貨,2,未滿20歲,2161,4341090
201401,63000000,百貨,2,20(含)-25歲,58958,113045394
201401,63000000,百貨,2,25(含)-30歲,196805,420456210
201401,63000000,百貨,2,30(含)-35歲,335946,759493179
201401,63000000,百貨,2,35(含)-40歲,374389,898063784
201401,63000000,百貨,2,40(含)-45歲,336556,914741463
201401,63000000,百貨,2,45(含)-50歲,281465,863867912
201401,63000000,百貨,2,50(含)-55歲,196341,702006510
201401,63000000,百貨,2,55(含)-60歲,125437,469540194
201401,63000000,百貨,2,60(含)-65歲,74228,271140344
201401,63000000,百貨,2,65(含)-70歲,25698,92467348
201401,63000000,百貨,2,70(含)-75歲,10972,41914441
201401,63000000,百貨,2,75(含)-80歲,4736,16421511
201401,63000000,百貨,2,80(含)歲以上,5051,15658553
201401,63000000,其他,2,未滿20歲,5976,6574756
201401,63000000,其他,2,20(含)-25歲,177339,345972061
201401,63000000,其他,2,25(含)-30歲,661502,1355160034
201401,63000000,其他,2,30(含)-35歲,1157040,2698986235
201401,63000000,其他,2,35(含)-40歲,1324603,3614727017
201401,63000000,其他,2,40(含)-45歲,1233610,3824285644
201401,63000000,其他,2,45(含)-50歲,1070890,3850656650
201401,63000000,其他,2,50(含)-55歲,755499,3068022023
201401,63000000,其他,2,55(含)-60歲,456557,2028782464
201401,63000000,其他,2,60(含)-65歲,224541,1048096313
201401,63000000,其他,2,65(含)-70歲,60292,331166154
201401,63000000,其他,2,70(含)-75歲,19786,122768091
201401,63000000,其他,2,75(含)-80歲,5445,30333791
201401,63000000,其他,2,80(含)歲以上,13805,78667068
201401,65000000,食,2,未滿20歲,513,316932
201401,65000000,食,2,20(含)-25歲,11561,12849355
201401,65000000,食,2,25(含)-30歲,42930,56642226
201401,65000000,食,2,30(含)-35歲,84910,127544382
201401,65000000,食,2,35(含)-40歲,112755,175755632
201401,65000000,食,2,40(含)-45歲,121086,192814369
201401,65000000,食,2,45(含)-50歲,116342,194495188
201401,65000000,食,2,50(含)-55歲,97260,169586031
201401,65000000,食,2,55(含)-60歲,69787,125315837
201401,65000000,食,2,60(含)-65歲,40702,67346417
201401,65000000,食,2,65(含)-70歲,13376,20854952
201401,65000000,食,2,70(含)-75歲,5078,7778294
201401,65000000,食,2,75(含)-80歲,1481,2248193
201401,65000000,食,2,80(含)歲以上,1068,1267051
201401,65000000,衣,2,未滿20歲,86,150695
201401,65000000,衣,2,20(含)-25歲,3033,6972120
201401,65000000,衣,2,25(含)-30歲,10168,25682490
201401,65000000,衣,2,30(含)-35歲,20615,53776324
201401,65000000,衣,2,35(含)-40歲,25984,71855248
201401,65000000,衣,2,40(含)-45歲,24647,75994392
201401,65000000,衣,2,45(含)-50歲,21402,74228346
201401,65000000,衣,2,50(含)-55歲,14284,53864292
201401,65000000,衣,2,55(含)-60歲,8224,32809083
201401,65000000,衣,2,60(含)-65歲,3810,14272921
201401,65000000,衣,2,65(含)-70歲,1009,3384367
201401,65000000,衣,2,70(含)-75歲,299,1193170
201401,65000000,衣,2,75(含)-80歲,76,794149
201401,65000000,衣,2,80(含)歲以上,372,1620170
201401,65000000,住,2,未滿20歲,61,127163
201401,65000000,住,2,20(含)-25歲,2133,8993951
201401,65000000,住,2,25(含)-30歲,6779,30453095
201401,65000000,住,2,30(含)-35歲,10862,58930356
201401,65000000,住,2,35(含)-40歲,13529,78189807
201401,65000000,住,2,40(含)-45歲,14239,85904532
201401,65000000,住,2,45(含)-50歲,13881,85962040
201401,65000000,住,2,50(含)-55歲,10425,65659861
201401,65000000,住,2,55(含)-60歲,6414,43364407
201401,65000000,住,2,60(含)-65歲,3060,21626527
201401,65000000,住,2,65(含)-70歲,1114,6842100
201401,65000000,住,2,70(含)-75歲,312,1936784
201401,65000000,住,2,75(含)-80歲,64,521424
201401,65000000,住,2,80(含)歲以上,152,1205061
201401,65000000,行,2,未滿20歲,91,33939
201401,65000000,行,2,20(含)-25歲,4602,3259911
201401,65000000,行,2,25(含)-30歲,15617,9674117
201401,65000000,行,2,30(含)-35歲,25041,20361372
201401,65000000,行,2,35(含)-40歲,27682,24520723
201401,65000000,行,2,40(含)-45歲,26257,26056294
201401,65000000,行,2,45(含)-50歲,22913,23886787
201401,65000000,行,2,50(含)-55歲,17929,18381100
201401,65000000,行,2,55(含)-60歲,11027,12281097
201401,65000000,行,2,60(含)-65歲,5212,5951485
201401,65000000,行,2,65(含)-70歲,1245,1251009
201401,65000000,行,2,70(含)-75歲,371,459470
201401,65000000,行,2,75(含)-80歲,59,86029
201401,65000000,行,2,80(含)歲以上,85,180432
201401,65000000,文教康樂,2,未滿20歲,115,299528
201401,65000000,文教康樂,2,20(含)-25歲,4989,12791291
201401,65000000,文教康樂,2,25(含)-30歲,14479,41029975
201401,65000000,文教康樂,2,30(含)-35歲,20335,65765862
201401,65000000,文教康樂,2,35(含)-40歲,21892,80004530
201401,65000000,文教康樂,2,40(含)-45歲,19878,77389152
201401,65000000,文教康樂,2,45(含)-50歲,16530,71075174
201401,65000000,文教康樂,2,50(含)-55歲,10983,48616598
201401,65000000,文教康樂,2,55(含)-60歲,5853,27838016
201401,65000000,文教康樂,2,60(含)-65歲,2857,12144531
201401,65000000,文教康樂,2,65(含)-70歲,796,3563560
201401,65000000,文教康樂,2,70(含)-75歲,284,1468864
201401,65000000,文教康樂,2,75(含)-80歲,87,333435
201401,65000000,文教康樂,2,80(含)歲以上,244,1277829
201401,65000000,百貨,2,未滿20歲,169,381589
201401,65000000,百貨,2,20(含)-25歲,5334,15934951
201401,65000000,百貨,2,25(含)-30歲,19922,64502755
201401,65000000,百貨,2,30(含)-35歲,35870,118023864
201401,65000000,百貨,2,35(含)-40歲,43016,144456889
201401,65000000,百貨,2,40(含)-45歲,40787,141005558
201401,65000000,百貨,2,45(含)-50歲,35346,132776871
201401,65000000,百貨,2,50(含)-55歲,25454,102367852
201401,65000000,百貨,2,55(含)-60歲,15968,64257395
201401,65000000,百貨,2,60(含)-65歲,8567,31855289
201401,65000000,百貨,2,65(含)-70歲,2643,8418757
201401,65000000,百貨,2,70(含)-75歲,859,2950122
201401,65000000,百貨,2,75(含)-80歲,236,885804
201401,65000000,百貨,2,80(含)歲以上,319,805247
201401,65000000,其他,2,未滿20歲,230,471842
201401,65000000,其他,2,20(含)-25歲,9071,29051829
201401,65000000,其他,2,25(含)-30歲,28468,99333471
201401,65000000,其他,2,30(含)-35歲,43220,145359877
201401,65000000,其他,2,35(含)-40歲,46926,170160613
201401,65000000,其他,2,40(含)-45歲,42948,169947586
