年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,1,未滿20歲,2517,6593139
201401,63000000,食,1,20(含)-25歲,33808,39858219
201401,63000000,食,1,25(含)-30歲,165901,217570879
201401,63000000,食,1,30(含)-35歲,332190,461164007
201401,63000000,食,1,35(含)-40歲,401017,579782560
201401,63000000,食,1,40(含)-45歲,390734,590069727
201401,63000000,食,1,45(含)-50歲,363482,601951412
201401,63000000,食,1,50(含)-55歲,299862,523038170
201401,63000000,食,1,55(含)-60歲,231077,421156573
201401,63000000,食,1,60(含)-65歲,169616,316717421
201401,63000000,食,1,65(含)-70歲,77222,137485387
201401,63000000,食,1,70(含)-75歲,38680,65155541
201401,63000000,食,1,75(含)-80歲,18487,30771689
201401,63000000,食,1,80(含)歲以上,16264,29535349
201401,63000000,衣,1,未滿20歲,674,1796517
201401,63000000,衣,1,20(含)-25歲,8634,21752664
201401,63000000,衣,1,25(含)-30歲,26115,72888682
201401,63000000,衣,1,30(含)-35歲,37173,102873218
201401,63000000,衣,1,35(含)-40歲,33795,94714748
201401,63000000,衣,1,40(含)-45歲,27870,84702203
201401,63000000,衣,1,45(含)-50歲,24684,77175545
201401,63000000,衣,1,50(含)-55歲,18079,61543670
201401,63000000,衣,1,55(含)-60歲,11651,46762413
201401,63000000,衣,1,60(含)-65歲,7205,31050328
201401,63000000,衣,1,65(含)-70歲,3118,14340348
201401,63000000,衣,1,70(含)-75歲,1283,6037316
201401,63000000,衣,1,75(含)-80歲,552,3159444
201401,63000000,衣,1,80(含)歲以上,709,2973856
201401,63000000,住,1,未滿20歲,516,6846404
201401,63000000,住,1,20(含)-25歲,5741,24399529
201401,63000000,住,1,25(含)-30歲,28168,115980994
201401,63000000,住,1,30(含)-35歲,57748,270809437
201401,63000000,住,1,35(含)-40歲,65487,312585097
201401,63000000,住,1,40(含)-45歲,61515,304737719
201401,63000000,住,1,45(含)-50歲,56374,286652543
201401,63000000,住,1,50(含)-55歲,46210,238329622
201401,63000000,住,1,55(含)-60歲,35186,210305909
201401,63000000,住,1,60(含)-65歲,25411,179188595
201401,63000000,住,1,65(含)-70歲,11212,69695894
201401,63000000,住,1,70(含)-75歲,5233,28487711
201401,63000000,住,1,75(含)-80歲,2346,12304318
201401,63000000,住,1,80(含)歲以上,2301,13133477
201401,63000000,行,1,未滿20歲,3921,4066228
201401,63000000,行,1,20(含)-25歲,73328,45829830
201401,63000000,行,1,25(含)-30歲,329639,251707790
201401,63000000,行,1,30(含)-35歲,566571,520706600
201401,63000000,行,1,35(含)-40歲,548183,599990514
201401,63000000,行,1,40(含)-45歲,484606,581141954
201401,63000000,行,1,45(含)-50歲,426602,536375951
201401,63000000,行,1,50(含)-55歲,355940,458622217
201401,63000000,行,1,55(含)-60歲,267730,338320533
201401,63000000,行,1,60(含)-65歲,168020,212385236
201401,63000000,行,1,65(含)-70歲,58633,69858620
201401,63000000,行,1,70(含)-75歲,20654,26281373
201401,63000000,行,1,75(含)-80歲,6276,8169950
201401,63000000,行,1,80(含)歲以上,6215,8003219
201401,63000000,文教康樂,1,未滿20歲,1909,12970020
201401,63000000,文教康樂,1,20(含)-25歲,28465,123697761
201401,63000000,文教康樂,1,25(含)-30歲,96764,403336863
201401,63000000,文教康樂,1,30(含)-35歲,142890,714476526
201401,63000000,文教康樂,1,35(含)-40歲,133716,766411907
201401,63000000,文教康樂,1,40(含)-45歲,120727,877872274
201401,63000000,文教康樂,1,45(含)-50歲,104791,897720054
